tenant,role,module,action,method,route,expected,ok,status
TENANT_A,none,clientes,read:list,GET,/api/clientes,deny,true,200
TENANT_A,read,clientes,read:list,GET,/api/clientes,allow,true,200
TENANT_A,editor,clientes,read:list,GET,/api/clientes,allow,true,200
TENANT_A,admin,clientes,read:list,GET,/api/clientes,allow,true,200
TENANT_B,none,clientes,read:list,GET,/api/clientes,deny,true,200
TENANT_B,read,clientes,read:list,GET,/api/clientes,allow,true,200
TENANT_B,editor,clientes,read:list,GET,/api/clientes,allow,true,200
TENANT_B,admin,clientes,read:list,GET,/api/clientes,allow,true,200
TENANT_A,none,clientes,create,POST,/api/clientes,deny,false,400
TENANT_A,read,clientes,create,POST,/api/clientes,deny,false,400
TENANT_A,editor,clientes,create,POST,/api/clientes,allow,false,400
TENANT_A,admin,clientes,create,POST,/api/clientes,allow,false,400
TENANT_B,none,clientes,create,POST,/api/clientes,deny,false,400
TENANT_B,read,clientes,create,POST,/api/clientes,deny,false,400
TENANT_B,editor,clientes,create,POST,/api/clientes,allow,false,400
TENANT_B,admin,clientes,create,POST,/api/clientes,allow,false,400
TENANT_A,none,clientes,update,PUT,/api/clientes,deny,false,400
TENANT_A,read,clientes,update,PUT,/api/clientes,deny,false,400
TENANT_A,editor,clientes,update,PUT,/api/clientes,allow,false,400
TENANT_A,admin,clientes,update,PUT,/api/clientes,allow,false,400
TENANT_B,none,clientes,update,PUT,/api/clientes,deny,false,400
TENANT_B,read,clientes,update,PUT,/api/clientes,deny,false,400
TENANT_B,editor,clientes,update,PUT,/api/clientes,allow,false,400
TENANT_B,admin,clientes,update,PUT,/api/clientes,allow,false,400
TENANT_A,none,clientes,delete,DELETE,/api/clientes,deny,false,400
TENANT_A,read,clientes,delete,DELETE,/api/clientes,deny,false,400
TENANT_A,editor,clientes,delete,DELETE,/api/clientes,deny,false,400
TENANT_A,admin,clientes,delete,DELETE,/api/clientes,allow,false,400
TENANT_B,none,clientes,delete,DELETE,/api/clientes,deny,false,400
TENANT_B,read,clientes,delete,DELETE,/api/clientes,deny,false,400
